Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 Kane, H,TOT,5.8m,36,2,25,0,10,-,-,-,-,0,4,1,38.3,222
 Vardy, J,LEI,4.0m,34,1,22,0,10,-,-,-,-,1,5,0,50.2,201
 Lukaku, R,EVE,6.2m,36,0,21,2,10,-,-,-,-,0,3,0,32.3,200
 Aguero, S,MCY,7.5m,28,1,24,1,6,-,-,-,-,0,1,0,25.6,192
 Mahrez, R,LEI,3.4m,33,1,17,2,13,-,-,-,-,0,1,0,54.7,186
 Barkley, R,EVE,3.9m,37,1,10,0,16,-,-,-,-,0,5,0,43.1,168
 Ighalo, O,WAT,3.8m,34,4,17,0,5,-,-,-,-,0,4,0,44.2,168
 Payet, D,WHM,3.6m,31,2,12,0,15,-,-,-,-,0,4,0,45.8,165
 Ozil, M,ARS,5.4m,34,0,6,0,23,-,-,-,-,0,4,0,30.2,163
 Alderweireld, T,TOT,3.9m,35,0,4,0,5,13,0,27,-,0,3,0,41.5,162
 Bellerin, H,ARS,3.9m,34,0,1,0,8,16,0,32,-,0,3,0,41.0,160
 Eriksen, C,TOT,4.7m,32,3,7,0,19,-,-,-,-,0,1,0,33.6,158
 Deeney, T,WAT,3.9m,37,2,11,1,12,-,-,-,-,0,7,1,39.7,155
 Giroud, O,ARS,6.6m,27,13,15,0,5,-,-,-,-,0,3,1,22.9,151
 Smalling, C,MUN,4.3m,37,0,1,0,1,19,0,29,-,0,8,1,34.9,150
 Sanchez, A,ARS,7.1m,27,3,13,0,9,-,-,-,-,0,1,0,20.8,148
 Dier, E,TOT,3.2m,37,0,4,0,1,13,0,29,-,0,9,0,46.2,148
 Alli, D,TOT,2.7m,28,7,10,0,12,-,-,-,-,0,7,0,52.6,142
 Koscielny, L,ARS,4.6m,33,0,4,0,1,14,1,31,-,0,5,0,30.7,141
 Monreal, N,ARS,3.8m,33,2,0,0,3,15,2,32,-,0,1,0,37.1,141
 Huth, R,LEI,2.9m,34,0,3,0,1,15,0,31,-,0,8,0,48.6,141
 Costa, D,CHE,7.2m,29,1,13,0,9,-,-,-,-,1,8,0,19.4,140
 Mata, J,MUN,5.3m,34,3,7,0,13,-,-,-,-,1,3,0,26.2,139
 Cresswell, A,WHM,3.3m,39,0,2,0,4,12,0,47,-,0,1,0,42.1,139
 Martial, A,MUN,4.7m,32,2,10,0,8,-,-,-,-,0,2,0,29.4,138
 Dann, S,CRY,3.2m,38,0,5,0,2,11,0,44,-,0,8,0,42.8,137
 Morgan, W,LEI,2.7m,35,0,1,0,1,15,0,33,-,0,3,0,50.7,137
