Away Defence Stats
,Team,Goals against,Avg per game,Clean Sheets
1,Man Utd,7,0.41,12
2,Arsenal,11,0.65,8
3,Spurs,12,0.71,8
4,Watford,15,0.88,8
5,Leicester,17,0.94,9
6,Sunderland,18,1.06,4
7,Swansea,18,1.06,8
8,Man City,19,1.06,6
9,Southampton,19,1.12,6
10,West Ham,20,1.18,6
11,Liverpool,21,1.24,5
12,Crystal Palace,22,1.22,6
13,Stoke,22,1.29,5
14,West Brom,22,1.29,5
15,Newcastle,23,1.35,4
16,Chelsea,27,1.59,3
17,Norwich,27,1.59,4
18,Everton,29,1.71,2
19,Bournemouth,33,1.83,4
20,Aston Villa,35,1.94,3
