English Premier League Defence Stats
,Team,Goals against,Avg per game,Clean Sheets
1,Tottenham Hotspur,28,0.78,13
2,Manchester United,31,0.89,17
3,Arsenal,34,0.94,17
4,Leicester City,34,0.94,15
5,Manchester City,38,1.06,16
6,Southampton,39,1.08,12
7,Watford,42,1.20,11
8,West Ham United,43,1.23,11
9,Crystal Palace,46,1.28,8
10,West Bromwich Albion,46,1.28,11
11,Chelsea,48,1.37,9
12,Liverpool,48,1.37,10
13,Everton,49,1.40,9
14,Swansea City,50,1.39,9
15,Stoke City,52,1.44,10
16,Sunderland,58,1.66,6
17,Norwich City,61,1.74,5
18,Bournemouth,63,1.75,7
19,Newcastle United,64,1.78,7
20,Aston Villa,72,2.00,5
